date,year,month,season,state,state_abbr,primary_mode,etiology,serotype_or_genotype,ifsac_category,setting,illnesses,hospitalizations,deaths,outbreak_severity,food_vehicle_missing,water_exposure,water_exposure_missing,water_type,water_type_group,animal_type,animal_group,is_food_related,is_water_related,is_animal_related
2020-01-01,2020,1,Winter,Wisconsin,WI,Person-to-person,Norovirus Genogroup II,GII.P16 GII.4 Sydney,Not Applicable,Long-term care/nursing home/assisted living facility,32,-0.18460740711594367,-0.0910808702943546,31.7243117225897,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Wisconsin,WI,Person-to-person,Norovirus Genogroup II,GII.P untypeable GII.4 untypeable,Not Applicable,Long-term care/nursing home/assisted living facility,41,1.3546323642831377,-0.0910808702943546,42.263551493988786,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Wisconsin,WI,Person-to-person,Norovirus Genogroup II,unknown,Not Applicable,Long-term care/nursing home/assisted living facility,32,-0.18460740711594367,-0.0910808702943546,31.7243117225897,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Wisconsin,WI,Person-to-person,Norovirus unknown,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,10,-0.18460740711594367,-0.0910808702943546,9.724311722589702,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Wisconsin,WI,Person-to-person,Unknown,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,6,-0.18460740711594367,-0.0910808702943546,5.724311722589702,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Wisconsin,WI,Person-to-person,Norovirus Genogroup II,GII.P17 GII.17,Not Applicable,Long-term care/nursing home/assisted living facility,52,-0.18460740711594367,-0.0910808702943546,51.724311722589704,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Wisconsin,WI,Food,Norovirus Genogroup II,GII.P7 GII.6,Multiple,Grocery store/bakery/deli/convenience store,32,-0.18460740711594367,-0.0910808702943546,31.7243117225897,Present,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,1,0,0
2020-01-01,2020,1,Winter,Wisconsin,WI,Person-to-person,Norovirus unknown,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,5,-0.18460740711594367,-0.0910808702943546,4.724311722589702,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Wisconsin,WI,Person-to-person,Norovirus unknown;Norovirus Genogroup II,GII.P16 GII.4 Sydney,Not Applicable,Long-term care/nursing home/assisted living facility,30,0.841552440483444,-0.0910808702943546,30.750471570189088,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Wisconsin,WI,Person-to-person,Norovirus Genogroup II,unknown,Not Applicable,Long-term care/nursing home/assisted living facility,9,0.07193255478390324,-0.0910808702943546,8.980851684489549,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Wisconsin,WI,Indeterminate/unknown,Unknown,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,23,-0.18460740711594367,-0.0910808702943546,22.7243117225897,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Wisconsin,WI,Person-to-person,Norovirus unknown,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,6,-0.18460740711594367,-0.0910808702943546,5.724311722589702,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Wisconsin,WI,Person-to-person,Norovirus Genogroup II;Clostridium difficile,unknown,Not Applicable,Long-term care/nursing home/assisted living facility,30,-0.18460740711594367,-0.0910808702943546,29.7243117225897,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Wisconsin,WI,Person-to-person,Norovirus Genogroup II,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,29,0.32847251668375016,-0.0910808702943546,29.237391646389394,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Alabama,AL,Indeterminate/unknown,Clostridium difficile,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,5,-0.18460740711594367,-0.0910808702943546,4.724311722589702,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Minnesota,MN,Person-to-person,Norovirus unknown,Not Applicable,Not Applicable,Child daycare/preschool,12,-0.18460740711594367,-0.0910808702943546,11.724311722589702,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Florida,FL,Food,Plant/Herbal toxins,Not Applicable,Not Applicable,Private home/residence,7,-0.18460740711594367,-0.0910808702943546,6.724311722589702,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,1,0,0
2020-01-01,2020,1,Winter,Connecticut,CT,Food,Norovirus Genogroup II,unknown,Not Applicable,Restaurant: Sit-down dining,11,-0.18460740711594367,-0.0910808702943546,10.724311722589702,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,1,0,0
2020-01-01,2020,1,Winter,Oregon,OR,Food,Campylobacter,Not Applicable,Not Applicable,Restaurant: Sit-down dining,2,-0.18460740711594367,-0.0910808702943546,1.7243117225897018,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,1,0,0
2020-01-01,2020,1,Winter,Minnesota,MN,Indeterminate/unknown,Norovirus unknown,Not Applicable,Not Applicable,Hotel/motel,11,-0.18460740711594367,-0.0910808702943546,10.724311722589702,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,South Carolina,SC,Person-to-person,Norovirus unknown,Not Applicable,Not Applicable,School/college/university,12,-0.18460740711594367,-0.0910808702943546,11.724311722589702,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Minnesota,MN,Person-to-person,Norovirus unknown,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,4,-0.18460740711594367,-0.0910808702943546,3.7243117225897016,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Indiana,IN,Person-to-person,Norovirus,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,5,-0.18460740711594367,-0.0910808702943546,4.724311722589702,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Indiana,IN,Person-to-person,Norovirus,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,16,-0.18460740711594367,-0.0910808702943546,15.724311722589702,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Minnesota,MN,Person-to-person,Norovirus unknown,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,32,-0.18460740711594367,2.348211823381791,34.16360441626585,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Minnesota,MN,Person-to-person,Norovirus unknown,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,12,-0.18460740711594367,-0.0910808702943546,11.724311722589702,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
2020-01-01,2020,1,Winter,Minnesota,MN,Person-to-person,Norovirus unknown,Not Applicable,Not Applicable,Long-term care/nursing home/assisted living facility,5,-0.18460740711594367,-0.0910808702943546,4.724311722589702,Missing,Not Applicable,Missing,Not Applicable,Missing/NA,Not Applicable,Missing/NA,0,0,0
