year,month,date,season,state,state_abbr,primary_mode,setting,etiology,etiology_grouped,ifsac_category,food_vehicle,water_exposure,water_type,water_type_group,animal_type,animal_group,illnesses,hospitalizations,deaths,illnesses_std,hospitalizations_std,deaths_std,hosp_per_ill,death_per_ill,food_vehicle_missing,water_exposure_missing,is_food_related,is_water_related,is_animal_related
2023,1,2023-01-01,Winter,Iowa,IA,Person-to-person,School/college/university,Norovirus Genogroup II;Norovirus Genogroup II;Norovirus Genogroup II,Norovirus,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,13.0,0.0,0.0,-0.01294451395039777,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Iowa,IA,Indeterminate/unknown,School/college/university,Unknown,Unknown,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,61.0,0.0,0.0,0.017736541115770374,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Iowa,IA,Person-to-person,Restaurant,Norovirus Genogroup II;Norovirus Genogroup II;Norovirus Genogroup II;Norovirus Genogroup II,Norovirus,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,2.0,0.0,0.0,-0.01997558906972797,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Multistate,Unknown,Animal contact,Residence - Single-family home;Residence - Multi-unit housing,Salmonella enterica,Salmonella,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Dog or puppy,House Pets,7.0,1.0,0.0,-0.01677964583366879,0.07220121886936216,-0.09101070221646372,0.14285714285714285,0.0,Missing,Missing,0,0,1
2023,1,2023-01-01,Winter,Rhode Island,RI,Indeterminate/unknown,Other,Norovirus unknown,Norovirus,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,15.0,1.0,0.0,-0.011666136655974097,0.07220121886936216,-0.09101070221646372,0.06666666666666667,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,California,CA,Food,Restaurant: Fast-food (drive up service or pay at counter),Norovirus unknown,Norovirus,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,5.0,0.0,0.0,-0.01805802312809246,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,1,0,0
2023,1,2023-01-01,Winter,California,CA,Food,Other,Norovirus unknown,Norovirus,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,11.0,0.0,0.0,-0.014222891244821442,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,1,0,0
2023,1,2023-01-01,Winter,Iowa,IA,Person-to-person,Restaurant,Norovirus Genogroup II,Norovirus,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,5.0,0.0,0.0,-0.01805802312809246,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Iowa,IA,Indeterminate/unknown,Restaurant,Unknown,Unknown,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,2.0,0.0,0.0,-0.01997558906972797,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Rhode Island,RI,Indeterminate/unknown,Hospital,Norovirus unknown,Norovirus,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Not Applicable,Other/Unknown,4.0,0.0,0.0,-0.018697211775304298,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Missing,0,0,0
2023,1,2023-01-01,Winter,Multistate,Unknown,Animal contact,Residence - Multi-unit housing;Agricultural feed store;Residence - Single-family home,Salmonella enterica,Salmonella,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,Poultry,Poultry,129.0,15.0,0.0,0.06120136912617524,3.667570904408202,-0.09101070221646372,0.11627906976744186,0.0,Missing,Missing,0,0,1
