"Date","Year","Month","season","State","state_abbr","Primary Mode","Etiology","Illnesses","Hospitalizations","Deaths","outbreak_severity","Water Exposure","Water Type","Animal Type","is_food_related","is_water_related","is_animal_related"
"1973-11",1973,11,"Fall","Vermont","VT","Water","Giardia duodenalis",32,0,0,32,"Drinking water","Community",NA,0,1,0
"1973-12",1973,12,"Winter","Maryland","MD","Water","Shigella unknown",94,0,2,96,"Drinking water","Other",NA,0,1,0
"1973-12",1973,12,"Winter","Vermont","VT","Water","Giardia duodenalis",20,0,0,20,"Drinking water","Community",NA,0,1,0
"1973-12",1973,12,"Winter","Pennsylvania","PA","Water","Unknown",145,0,0,145,"Drinking water","Other",NA,0,1,0
"1974-01",1974,1,"Winter","Florida","FL","Water","Shigella sonnei",0,0,0,0,"Drinking water","Community",NA,0,1,0
"1974-01",1974,1,"Winter","New Jersey","NJ","Water","Unknown",57,0,0,57,"Drinking water","Other",NA,0,1,0
"1974-02",1974,2,"Winter","Oregon","OR","Water","Oil",18,0,0,18,"Drinking water","Community",NA,0,1,0
"1974-03",1974,3,"Spring","Idaho","ID","Water","Unknown",9,0,0,9,"Drinking water","Community",NA,0,1,0
"1974-04",1974,4,"Spring","North Carolina","NC","Water","Fluoride",213,0,0,213,"Drinking water","Other",NA,0,1,0
"1974-06",1974,6,"Summer","New Hampshire","NH","Water","Giardia duodenalis",78,0,0,78,"Drinking water","Community",NA,0,1,0
"1974-06",1974,6,"Summer","Washington","WA","Water","Salmonella enterica",5,0,0,5,"Drinking water","Individual/Private",NA,0,1,0
"1974-06",1974,6,"Summer","Colorado","CO","Water","Giardia duodenalis",18,0,0,18,"Drinking water","Other",NA,0,1,0
"1974-07",1974,7,"Summer","Pennsylvania","PA","Water","Unknown",72,0,0,72,"Drinking water","Other",NA,0,1,0
"1974-07",1974,7,"Summer","Alaska","AK","Water","Salmonella unknown",34,0,0,34,"Drinking water","Community",NA,0,1,0
"1974-07",1974,7,"Summer","Wisconsin","WI","Water","Phenol",17,0,0,17,"Drinking water","Individual/Private",NA,0,1,0
"1974-07",1974,7,"Summer","Ohio","OH","Water","Shigella unknown",6,0,0,6,"Drinking water","Other",NA,0,1,0
"1974-08",1974,8,"Summer","Colorado","CO","Water","Unknown",85,0,0,85,"Drinking water","Other",NA,0,1,0
"1974-08",1974,8,"Summer","Oregon","OR","Water","Unknown",19,0,0,19,"Drinking water","Community",NA,0,1,0
"1974-08",1974,8,"Summer","Oregon","OR","Water","Unknown",400,0,0,400,"Drinking water","Community",NA,0,1,0
"1974-08",1974,8,"Summer","Pennsylvania","PA","Water","Shigella sonnei",600,0,0,600,"Drinking water","Other",NA,0,1,0
"1974-08",1974,8,"Summer","New Hampshire","NH","Water","Unknown",7,0,0,7,"Other/Environmental water",NA,NA,0,1,0
"1974-09",1974,9,"Fall","California","CA","Water","Unknown",18,0,0,18,"Other/Environmental water",NA,NA,0,1,0
"1974-09",1974,9,"Fall","Utah","UT","Water","Giardia duodenalis",34,0,0,34,"Other/Environmental water",NA,NA,0,1,0
"1974-09",1974,9,"Fall","Pennsylvania","PA","Water","Legionella pneumophila",11,0,0,11,"Undetermined water",NA,NA,0,1,0
"1974-09",1974,9,"Fall","New York","NY","Water","Chromium",20,0,0,20,"Drinking water","Community",NA,0,1,0
